statistics_code;statistics_label;time_code;time_label;time;1_variable_code;1_variable_label;1_variable_attribute_code;1_variable_attribute_label;value;value_unit;value_variable_code;value_variable_label;value_q
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;1980-12-31;DINSG;Deutschland insgesamt;DG;Deutschland;61657945;Anzahl;BEVSTD;Bevölkerungsstand;e
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;1950-12-31;DINSG;Deutschland insgesamt;DG;Deutschland;50958125;Anzahl;BEVSTD;Bevölkerungsstand;e
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;2001-12-31;DINSG;Deutschland insgesamt;DG;Deutschland;82440309;Anzahl;BEVSTD;Bevölkerungsstand;e
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;1967-12-31;DINSG;Deutschland insgesamt;DG;Deutschland;59948474;Anzahl;BEVSTD;Bevölkerungsstand;e
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;2018-12-31;DINSG;Deutschland insgesamt;DG;Deutschland;83019213;Anzahl;BEVSTD;Bevölkerungsstand;e
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;1995-12-31;DINSG;Deutschland insgesamt;DG;Deutschland;81817499;Anzahl;BEVSTD;Bevölkerungsstand;e
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;1997-12-31;DINSG;Deutschland insgesamt;DG;Deutschland;82057379;Anzahl;BEVSTD;Bevölkerungsstand;e
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;2016-12-31;DINSG;Deutschland insgesamt;DG;Deutschland;82521653;Anzahl;BEVSTD;Bevölkerungsstand;e
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;2003-12-31;DINSG;Deutschland insgesamt;DG;Deutschland;82531671;Anzahl;BEVSTD;Bevölkerungsstand;e
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;1982-12-31;DINSG;Deutschland insgesamt;DG;Deutschland;61546101;Anzahl;BEVSTD;Bevölkerungsstand;e
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;1965-12-31;DINSG;Deutschland insgesamt;DG;Deutschland;59296591;Anzahl;BEVSTD;Bevölkerungsstand;e
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;1954-12-31;DINSG;Deutschland insgesamt;DG;Deutschland;52943295;Anzahl;BEVSTD;Bevölkerungsstand;e
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;1984-12-31;DINSG;Deutschland insgesamt;DG;Deutschland;61049256;Anzahl;BEVSTD;Bevölkerungsstand;e
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;2005-12-31;DINSG;Deutschland insgesamt;DG;Deutschland;82437995;Anzahl;BEVSTD;Bevölkerungsstand;e
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;2007-12-31;DINSG;Deutschland insgesamt;DG;Deutschland;82217837;Anzahl;BEVSTD;Bevölkerungsstand;e
