Statistik,Gebiet,Geschlecht,Jahre,Alter ,Sterbedatum,Sterbefaelle,Qualitaetskennzeichen
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,Insgesamt,Insgesamt,1023687,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,Insgesamt,01.01.,3559,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,Insgesamt,02.01.,3546,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,Insgesamt,03.01.,3444,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,Insgesamt,04.01.,3735,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,Insgesamt,05.01.,3569,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,Insgesamt,06.01.,3654,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,Insgesamt,07.01.,3584,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,Insgesamt,08.01.,3566,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,Insgesamt,09.01.,3468,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,Insgesamt,10.01.,3343,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,Insgesamt,11.01.,3561,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,Insgesamt,12.01.,3608,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,Insgesamt,13.01.,3530,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,Insgesamt,14.01.,3589,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,Insgesamt,15.01.,3606,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,Insgesamt,16.01.,3378,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,Insgesamt,17.01.,3260,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,Insgesamt,18.01.,3489,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,Insgesamt,19.01.,3528,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,Insgesamt,20.01.,3500,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,Insgesamt,21.01.,3547,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,Insgesamt,22.01.,3578,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,Insgesamt,23.01.,3319,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,Insgesamt,24.01.,3168,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,Insgesamt,25.01.,3354,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,Insgesamt,26.01.,3312,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,Insgesamt,27.01.,3314,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,Insgesamt,28.01.,3292,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,Insgesamt,29.01.,3326,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,Insgesamt,30.01.,3091,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,Insgesamt,31.01.,2985,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,Insgesamt,01.02.,3203,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,Insgesamt,02.02.,3178,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,Insgesamt,03.02.,3261,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,Insgesamt,04.02.,3086,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,Insgesamt,05.02.,3052,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,Insgesamt,06.02.,3128,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,Insgesamt,07.02.,2865,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,Insgesamt,08.02.,3057,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,Insgesamt,09.02.,3071,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,Insgesamt,10.02.,2988,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,Insgesamt,11.02.,2997,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,Insgesamt,12.02.,3149,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,Insgesamt,13.02.,2953,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,Insgesamt,14.02.,2731,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,Insgesamt,15.02.,2990,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,Insgesamt,16.02.,3138,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,Insgesamt,17.02.,2995,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,Insgesamt,18.02.,2915,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,Insgesamt,19.02.,2911,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,Insgesamt,20.02.,2798,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,Insgesamt,21.02.,2746,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,Insgesamt,22.02.,2799,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,Insgesamt,23.02.,2766,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,Insgesamt,24.02.,2776,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,Insgesamt,25.02.,2788,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,Insgesamt,26.02.,2685,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,Insgesamt,27.02.,2654,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,Insgesamt,28.02.,2511,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,Insgesamt,29.02.,X,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,Insgesamt,01.03.,2716,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,Insgesamt,02.03.,2675,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,Insgesamt,03.03.,2663,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,Insgesamt,04.03.,2731,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,Insgesamt,05.03.,2697,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,Insgesamt,06.03.,2484,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,Insgesamt,07.03.,2489,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,Insgesamt,08.03.,2735,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,Insgesamt,09.03.,2739,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,Insgesamt,10.03.,2603,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,Insgesamt,11.03.,2684,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,Insgesamt,12.03.,2656,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,Insgesamt,13.03.,2678,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,Insgesamt,14.03.,2511,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,Insgesamt,15.03.,2756,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,Insgesamt,16.03.,2614,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,Insgesamt,17.03.,2635,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,Insgesamt,18.03.,2656,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,Insgesamt,19.03.,2710,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,Insgesamt,20.03.,2499,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,Insgesamt,21.03.,2504,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,Insgesamt,22.03.,2699,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,Insgesamt,23.03.,2587,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,Insgesamt,24.03.,2744,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,Insgesamt,25.03.,2764,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,Insgesamt,26.03.,2780,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,Insgesamt,27.03.,2531,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,Insgesamt,28.03.,2332,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,Insgesamt,29.03.,2605,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,Insgesamt,30.03.,2720,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,Insgesamt,31.03.,2704,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,Insgesamt,01.04.,2800,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,Insgesamt,02.04.,2605,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,Insgesamt,03.04.,2510,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,Insgesamt,04.04.,2576,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,Insgesamt,05.04.,2658,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,Insgesamt,06.04.,2720,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,Insgesamt,07.04.,2710,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,Insgesamt,08.04.,2686,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,Insgesamt,09.04.,2789,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,Insgesamt,10.04.,2713,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,Insgesamt,11.04.,2597,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,Insgesamt,12.04.,2793,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,Insgesamt,13.04.,2759,e
